uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
KYUK-LD,TV_US,15,62614,0,1496363,LD,100.000,23503,0.0,64.0,56.0,0.0,POINT,60.791748,-161.775075,,,,,,,,,CDBS
K21AO,TV_US,21,62922,0,83268,TX,663.000,0,0.0,66.0,56.0,0.0,POINT,60.791748,-161.775075,,,,,,,,,CDBS
K11QY,TV_US,11,62704,0,301578,TX,55.000,20819,180.0,15.0,0.0,0.0,POINT,60.811752,-161.435628,,,,,,,,,CDBS
K08ID,TV_US,8,62547,0,305176,TX,55.000,20830,285.0,15.0,0.0,0.0,POINT,61.101485,-160.960640,,,,,,,,,CDBS
K12NS,TV_US,12,62769,0,93105,TX,9.000,0,0.0,25.0,18.0,0.0,POINT,60.911757,-161.218964,,,,,,,,,CDBS
K09UE,TV_US,9,62770,0,69903,TX,55.000,20831,100.0,15.0,0.0,0.0,POINT,60.894800,-162.520366,,,,,,,,,CDBS
K12NP,TV_US,12,62484,0,84243,TX,57.000,20820,320.0,14.0,6.0,0.0,POINT,60.857301,-162.279250,,,,,,,,,CDBS
K13UV,TV_US,13,62594,0,93130,TX,9.000,0,0.0,24.0,18.0,0.0,POINT,60.692578,-161.966183,,,,,,,,,CDBS
K13TC,TV_US,13,62512,0,48549,TX,55.000,20821,170.0,12.0,0.0,0.0,POINT,60.343124,-162.666177,,,,,,,,,CDBS
K10LU,TV_US,10,62942,0,207109,TX,62.000,20818,276.0,16.0,9.0,0.0,POINT,60.477549,-164.722306,,,,,,,,,CDBS
K11QG,TV_US,11,62830,0,35964,TX,56.000,20819,60.0,18.0,0.0,0.0,POINT,60.530599,-165.107575,,,,,,,,,CDBS
K09SW,TV_US,9,62571,0,47022,TX,54.000,20831,270.0,12.0,0.0,0.0,POINT,60.582541,-165.261184,,,,,,,,,CDBS
K04MT,TV_US,4,62895,0,47037,TX,43.000,20824,170.0,12.0,0.0,0.0,POINT,60.940599,-164.630382,,,,,,,,,CDBS
K15AU,TV_US,15,62672,0,77541,TX,163.000,20748,200.0,38.0,0.0,0.0,POINT,61.939242,-162.878491,,,,,,,,,CDBS
K04MW,TV_US,4,62735,0,50810,TX,43.000,20824,300.0,14.0,0.0,0.0,POINT,62.031736,-163.284332,,,,,,,,,CDBS
K07RK,TV_US,7,11552,0,304926,TX,18.000,20773,60.0,107.0,0.0,0.0,POINT,62.051183,-163.177111,,,,,,,,,CDBS
K13TJ,TV_US,13,62808,0,50811,TX,55.000,20821,90.0,37.0,0.0,0.0,POINT,62.087562,-163.728778,,,,,,,,,CDBS
K08KD,TV_US,8,62557,0,67031,TX,56.000,20830,183.0,12.0,0.0,0.0,POINT,62.683378,-164.651315,,,,,,,,,CDBS
K07OP,TV_US,7,70226,0,304913,TX,13.000,20776,280.0,9.0,0.0,0.0,POINT,62.775047,-164.528823,,,,,,,,,CDBS
K09SL,TV_US,9,62502,0,47031,TX,55.000,20831,340.0,12.0,0.0,0.0,POINT,63.049232,-163.554668,,,,,,,,,CDBS
K09PC,TV_US,9,11467,0,21729,TX,18.000,20773,10.0,37.0,0.0,0.0,POINT,62.902338,-160.067405,,,,,,,,,CDBS
K07TK,TV_US,7,62611,0,76455,TX,59.000,20829,180.0,20.0,0.0,0.0,POINT,61.880645,-162.088213,,,,,,,,,CDBS
K11SB,TV_US,11,62667,0,93134,TX,58.000,20819,50.0,90.0,6.0,0.0,POINT,61.785652,-161.322090,,,,,,,,,CDBS
K09TR,TV_US,9,62643,0,66532,TX,55.000,20831,195.0,25.0,0.0,0.0,POINT,61.512602,-160.360674,,,,,,,,,CDBS
K07RJ,TV_US,7,62664,0,36031,TX,55.000,20829,180.0,59.0,0.0,0.0,POINT,62.198726,-159.770422,,,,,,,,,CDBS
K07RE,TV_US,7,62773,0,35987,TX,54.000,20829,10.0,24.0,0.0,0.0,POINT,62.655113,-160.205448,,,,,,,,,CDBS
K10KH,TV_US,10,70219,0,259814,TX,59.000,20818,330.0,32.0,10.9,0.0,POINT,62.654842,-159.532393,,,,,,,,,CDBS
K09TX,TV_US,9,62754,0,56037,TX,56.000,20831,140.0,61.0,0.0,0.0,POINT,64.327664,-158.723592,,,,,,,,,CDBS
