uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
WQTD796,BAS,20,0,2,3551719,TI,0.000,0,0.0,0.0,6.1,0.0,KEYHOLE,42.117500,-112.656667,65.8,8000,18351,,WQTD796,3551719,42.185139,-112.454111,ULS
WQHI517,BAS,17,0,2,2935075,TT,0.000,0,0.0,0.0,6.1,0.0,KEYHOLE,39.202806,-112.143500,40.1,8000,42054,,WQHI517,2935075,39.491944,-111.828333,ULS
WQNQ864,BAS,25,0,2,3283539,TT,0.000,0,0.0,0.0,3.0,0.0,KEYHOLE,38.948000,-114.165833,121.6,8000,80000,,WQNQ864,3283539,38.520389,-113.287333,ULS
WQNQ858,BAS,27,0,2,3283533,TT,0.000,0,0.0,0.0,3.0,0.0,KEYHOLE,38.948000,-114.151583,122.0,8000,80000,,WQNQ858,3283533,38.520389,-113.287333,ULS
WQPW247,BAS,31,0,2,3405583,TT,0.000,0,0.0,0.0,3.0,0.0,KEYHOLE,38.948000,-114.151583,122.0,8000,80000,,WQPW247,3405583,38.520389,-113.287333,ULS
WQPW248,BAS,29,0,2,3405584,TT,0.000,0,0.0,0.0,3.0,0.0,KEYHOLE,38.948000,-114.151583,122.0,8000,80000,,WQPW248,3405584,38.520389,-113.287333,ULS
WQBD323,BAS,35,0,2,2656118,TT,0.000,0,0.0,0.0,6.1,0.0,KEYHOLE,37.705361,-113.744500,96.5,8000,63274,,WQBD323,2656118,37.639111,-113.032139,ULS
WQEP705,BAS,25,0,2,2794764,TI,0.000,0,0.0,0.0,3.0,0.0,KEYHOLE,37.412222,-118.187000,-102.4,8000,18815,,WQEP705,2794764,37.375556,-118.394444,ULS
WQHD202,BAS,41,0,2,2924780,TS,0.000,0,0.0,0.0,9.1,0.0,KEYHOLE,34.610000,-117.287639,-164.2,8000,12542,,WQHD202,2924780,34.501222,-117.324889,ULS
WPJD820,BAS,41,0,2,1036378,TS,0.000,0,0.0,0.0,30.5,0.0,KEYHOLE,36.146444,-88.796444,-32.9,8000,39648,,WPJD820,1036378,36.446167,-89.036722,ULS
WPVP311,BAS,22,0,2,2434114,TS,0.000,0,0.0,0.0,45.0,0.0,KEYHOLE,30.738333,-86.106111,139.8,8000,1733,,WPVP311,2434114,30.726389,-86.094444,ULS
WQAA353,BAS,43,0,2,2612943,TS,0.000,0,0.0,0.0,61.0,0.0,KEYHOLE,30.486111,-88.714722,122.6,8000,21158,,WQAA353,2612943,30.383250,-88.529194,ULS
WPJA637,BAS,18,0,2,1034254,TS,0.000,0,0.0,0.0,76.2,0.0,KEYHOLE,27.557806,-82.366194,-131.9,8000,22864,,WPJA637,1034254,27.420028,-82.538417,ULS
WQRC438,BAS,38,0,2,3466975,TS,0.000,0,0.0,0.0,70.0,0.0,KEYHOLE,26.203333,-81.815000,70.9,8000,3291,,WQRC438,3466975,26.213056,-81.783889,ULS
WPRV949,BAS,26,0,2,1945857,TS,0.000,0,0.0,0.0,10.0,0.0,KEYHOLE,28.149167,-80.703611,143.7,8000,9358,,WPRV949,1945857,28.081111,-80.647222,ULS
WQKU569,BAS,21,0,2,3133023,TI,0.000,0,0.0,0.0,18.3,0.0,KEYHOLE,27.626972,-80.393389,164.8,8000,40418,,WQKU569,3133023,27.275000,-80.286111,ULS
WMV643,BAS,30,0,2,1008218,TS,0.000,0,0.0,0.0,30.5,0.0,KEYHOLE,28.646361,-81.501167,119.0,8000,11404,,WMV643,1008218,28.596389,-81.399222,ULS
WMV454,BAS,29,0,2,1008030,TS,0.000,0,0.0,0.0,93.9,0.0,KEYHOLE,32.820556,-79.957222,-31.5,8000,11531,,WMV454,1008030,32.909167,-80.021667,ULS
