channel,service,country,state,city,lat,lon,fac_callsign,arn,app_id,haat,da,erp,facility_id,rcamsl,ref az,ant_id
28,DT,US,MI,FLINT,425356,832741,WCMZ-TV,BLEDT20110218AAR,1418014,258,DA,500,69273,550,0,87131
7,DT,US,MI,GRAND RAPIDS,424114,853034,WOOD-TV,BLCDT20040625ABO,999571,288,ND,30,36838,530,,
11,DT,US,MI,GRAND RAPIDS,425735,855345,WGVU-TV,BLEDT20100827ABE,1396265,259.9,DA,41.5,24784,462.3,0,93578
13,DT,US,MI,GRAND RAPIDS,431835,855445,WZZM,BLCDT20100726AKV,1392125,324.3,ND,24.5,49713,552.3,,
15,DC,US,MI,GRAND RAPIDS,430059,854424,WXSP-CD,BLDTA20100714AAG,1357065,0,DA,15,36851,343,0,101779
19,DT,US,MI,GRAND RAPIDS,424115,853157,WXMI,BPCDT20080619AKI,1331105,334,DA,750,68433,574,130,95452
41,DC,US,MI,GRAND RAPIDS,424113,853034,WOLP-CD,BLDTL20101006AAU,1402241,0,DA,15,167892,403,0,102875
25,DC,US,MI,HOLLAND,424859,855720,WOGC-CD,BLDTA20120316ADA,1492156,0,DA,0.73,17203,314.1,315,18062
33,DC,US,MI,HOLLAND,424859,855720,WOHO-CD,BLDTA20120316ACT,1492132,0,DA,0.52,28926,308.1,250,19139
8,DT,US,MI,IRON MOUNTAIN,454910,880235,WDHS,BLCDT20090612AKA,1317761,171,ND,22,15498,514,,
10,DT,US,MI,ISHPEMING,462926,875336,WBUP,BMPCDT20091015AAS,1337773,230,DA,9,59281,712.4,0,96301
34,DT,US,MI,JACKSON,422225,840410,WHTV,BLCDT20130927AWH,1537647,288.6,ND,185,29706,574.5,,
5,DT,US,MI,KALAMAZOO,421823,853925,WGVK,BLEDT20060703ABQ,1134126,169,ND,10,24783,432,,
8,DT,US,MI,KALAMAZOO,423756,853216,WWMT,BLCDT20090616AAV,1336234,257,ND,25,74195,505,,
45,DT,US,MI,KALAMAZOO,423352,852731,WLLA,BLCDT20070529AEA,1192672,330.8,DA,440,11033,590.7,0,79747
50,DC,US,MI,KALAMAZOO,421748,853829,WOKZ-CD,BLDTA20120306AAW,1489904,0,DA,0.1,36841,331.5,130,107127
36,DT,US,MI,LANSING,424119,842235,WLNS-TV,BLCDT20090720ADT,1323283,288,ND,984,74420,560,,
38,DT,US,MI,LANSING,422803,843906,WSYM-TV,BLCDT20061107ADX,1156894,281,DA,933,74094,564,0,73084
51,DT,US,MI,LANSING,422513,843125,WLAJ,BLCDT20040422ABI,690267,300,DA,900,36533,589,0,59127
21,DT,US,MI,MANISTEE,440357,861958,WCMW,BLEDT20090612ABH,1316303,134,DA,70,9913,336,0,87125
13,DT,US,MI,MARQUETTE,462110,875115,WNMU,BLEDT20090609ACL,1316915,323.3,ND,15.4,4318,770.1,,
19,DT,US,MI,MARQUETTE,463008,873852,WZMQ,BLCDT20100928AJX,1400526,176,DA,31,81448,604,150,100266
35,DT,US,MI,MARQUETTE,462011,875055,WLUC-TV,BLCDT20040202ALY,672681,257,DA,63,21259,699.8,0,44077
39,DT,US,MI,MOUNT CLEMENS,423315,825315,WADL,BLCDT20020507AAO,602312,170,DA,1000,455,351,0,32831
26,DT,US,MI,MOUNT PLEASANT,434505,851246,WCMU-TV,BLEDT20130710ABN,1560614,298,DA,450,9908,617.1,0,114084
24,DT,US,MI,MUSKEGON,425725,855407,WTLJ,BLCDT20101007AAX,1325545,283,DA,310,67781,487.2,0,89715
29,DC,US,MI,MUSKEGON,431545,860434,WOMS-CD,BLDTA20110812ACT,1439979,0,ND,0.7,67895,342,,
49,DC,US,MI,MUSKEGON,431506,860910,WMKG-LD,BDCCDTL20061018ABV,1154981,0,DA,15,168800,257,0,16352
10,DT,US,MI,ONONDAGA,422633,843421,WILX-TV,BLCDT20120404ACG,1494918,298.5,ND,30,6863,585.5,,
30,DT,US,MI,SAGINAW,431301,834317,WEYI-TV,BLCDT20040123ASH,971619,356,ND,193,72052,565.3,,
48,DT,US,MI,SAGINAW,431318,840314,WAQP,BLCDT20060824ADS,1145716,287,DA,851,67792,479.9,265,76046
8,DT,US,MI,SAULT STE. MARIE,460308,840638,WGTQ,BLCDT20090622AFG,1316824,288,DA,15,59279,483,0,87544
10,DT,US,MI,SAULT STE. MARIE,460336,840557,WWUP-TV,BLCDT20100823ABU,1395804,370,ND,25,26993,562.8,,
29,DT,US,MI,TRAVERSE CITY,444453,850408,WGTU,BLCDT20090622AFH,1393732,393,DA,68.4,59280,744.6,0,87543
47,DT,US,MI,TRAVERSE CITY,444453,850408,WPBN-TV,BLCDT20091203AHC,1346051,393,DA,500,21253,744,0,96463
45,DT,US,MI,VANDERBILT,451012,844504,WFUP,BLCDT20091217ACW,1323934,324,ND,108,25395,650.6,,
7,DT,US,MN,ALEXANDRIA,454110,950803,KCCO-TV,BLCDT20090615AAB,1317330,339.6,ND,29,9632,749.5,,
42,DT,US,MN,ALEXANDRIA,454159,951035,KSAX,BLCDT20090622ACC,1315202,356,ND,80,35584,768,,
10,DT,US,MN,APPLETON,451003,960002,KWCM-TV,BLEDT20091217ADE,1346293,381,DA,50,71549,694.5,0,87147
20,DT,US,MN,AUSTIN,433834,923135,KSMQ-TV,BLEDT20081223AAK,1283688,302.7,ND,319,28510,717,,
36,DT,US,MN,AUSTIN,433834,923135,KAAL,BLCDT20091110AAF,1341066,326,ND,620,18285,740,,
9,DT,US,MN,BEMIDJI,474203,942914,KAWE,BLEDT20091026ABU,1339796,334.7,ND,27,49578,748.8,,
26,DT,US,MN,BEMIDJI,473321,944804,KFTC,BLCDT20090206AAG,1423022,156,DA,4.5,83714,575.4,0,18061
28,DT,US,MN,BRAINERD,462521,942741,KAWB,BLEDT20101012ADI,1402827,227,ND,138,49579,616.8,,
11,DT,US,MN,CHISHOLM,475139,925646,KRII,BLCDT20090625ABG,1316460,200.4,ND,63,82698,600.5,,
16,DT,US,MN,CROOKSTON,475838,963618,KCGE-DT,BLEDT20031024AAC,695326,219.6,DA,105,132606,495.2,0,38385
8,DT,US,MN,DULUTH,464730,920721,WDSE,BLEDT20090618ABE,1316736,295,ND,34,17726,608.7,,
10,DT,US,MN,DULUTH,464715,920721,WDIO-DT,BLCDT20090917AAY,1333303,297,DA,45,71338,608,0,105116
17,DT,US,MN,DULUTH,464737,920703,KQDS-TV,BLCDT20060707ADN,1137087,299,ND,1000,35525,609.7,,
27,DT,US,MN,DULUTH,464707,920715,KCWV,BPCDT20100308ABS,1427768,207,DA,40,166511,512.7,180,105330
33,DT,US,MN,DULUTH,464721,920651,KDLH,BLCDT20071113AJQ,1224357,311.9,ND,381,4691,618.5,,
13,DT,US,MN,HIBBING,472253,925715,WIRT-DT,BLCDT20090417ABE,1308623,204,DA,13,71336,638,0,87628
31,DT,US,MN,HIBBING,472253,925715,WRPT,BLEDT20090603AAY,1313673,167,DA,250,159007,601.7,0,86922
23,DC,US,MN,LA CRESCENT,434453,911751,KQEG-CA,BDFCDTA20090824AAK,1328844,0,DA,15,72207,492,30,94741
12,DT,US,MN,MANKATO,435614,942441,KEYC-TV,BLCDT20120918AFE,1516134,317,ND,52.7,68853,642,,
9,DT,US,MN,MINNEAPOLIS,450330,930727,KMSP-TV,BLCDT20090622ABD,1423023,433,DA,30,68883,713,0,93354
11,DT,US,MN,MINNEAPOLIS,450344,930821,KARE,BLCDT20100624ACP,1378968,455,ND,45.3,23079,730.9,,
22,DT,US,MN,MINNEAPOLIS,450344,930821,WUCW,BLCDT20060405AAI,1118939,410,DA,1000,36395,685.9,0,30005
29,DT,US,MN,MINNEAPOLIS,450330,930727,WFTC,BLCDT20100809CJF,1423074,389,DA,1000,11913,669,0,105151
32,DT,US,MN,MINNEAPOLIS,450344,930821,WCCO-TV,BMLCDT20120907ABQ,1397104,432,ND,1000,9629,711,,
33,DC,US,MN,MINNEAPOLIS,445834,931620,K33LN-D,BLDTA20111219AEB,1480885,0,ND,15,67002,495,,
45,DT,US,MN,MINNEAPOLIS,450345,930821,KSTC-TV,BLCDT20090619ACD,1315197,428,ND,1000,35843,706,,
27,DT,US,MN,REDWOOD FALLS,442903,952927,KRWF,BLCDT20080502ABG,1244361,151,DA,58,35585,481.1,0,85588
10,DT,US,MN,ROCHESTER,433415,922537,KTTC,BLCDT20101102ACA,1402048,381,ND,43.1,35678,788.8,,
46,DT,US,MN,ROCHESTER,433834,923135,KXLT-TV,BLCDT20060925AJB,1150431,343,DA,220,35906,757,0,73065
40,DT,US,MN,ST. CLOUD,450344,930821,KPXM-TV,BPCDT20120323AGY,1490810,433,ND,1000,35907,711,,
