uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
K38DZ-D,TV_TRANSLATOR,8,18195,0,1547470,LD,410.000,23503,0.0,2123.0,17.0,0.0,KEYHOLE,48.854585,-111.142308,-175.8,8000,62752,,KFBB-TV,34412,47.535514,-111.284696,CDBS
K51KO-D,TV_TRANSLATOR,8,18194,0,1487875,LD,1170.000,23503,0.0,2121.3,14.3,0.0,KEYHOLE,48.854585,-111.142308,-175.8,8000,62752,,KFBB-TV,34412,47.535514,-111.284696,CDBS
K14JT,TV_TRANSLATOR,9,43821,0,264625,TX,3710.000,22433,0.0,1304.0,8.5,0.0,KEYHOLE,34.075559,-115.955832,-84.5,8000,68036,,KCAL-TV,21422,34.227226,-118.067569,CDBS
K16FI,TV_TRANSLATOR,31,43824,0,614462,TX,1190.000,39177,0.0,1302.0,7.0,0.0,KEYHOLE,34.075559,-115.955832,-84.5,8000,66759,,KTLA,35670,34.226670,-118.066457,CDBS
K18FH,TV_TRANSLATOR,13,43817,0,279739,TX,3710.000,22433,0.0,1304.0,8.5,0.0,KEYHOLE,34.075559,-115.955832,-84.5,8000,54335,,KCOP-TV,33742,34.224726,-118.064235,CDBS
K47IB,TV_TRANSLATOR,36,43815,0,1077596,TX,3000.000,20750,320.0,1299.0,4.0,0.0,KEYHOLE,34.075559,-115.955832,-84.5,8000,68745,,KNBC,47906,34.225559,-118.065346,CDBS
K49DC,TV_TRANSLATOR,11,43813,0,158857,TX,2510.000,20750,320.0,1299.0,4.0,0.0,KEYHOLE,34.075559,-115.955832,-84.5,8000,54846,,KTTV,22208,34.224726,-118.064235,CDBS
K15FC,TV_TRANSLATOR,42,43809,0,1263967,TX,300.000,23500,80.0,839.6,7.6,0.0,KEYHOLE,34.135256,-116.308344,-158.3,8000,1254,,KESQ-TV,25577,33.866128,-116.436401,CDBS
K17GJ,TV_TRANSLATOR,36,43816,0,1263356,TX,300.000,23500,80.0,839.6,7.6,0.0,KEYHOLE,34.135256,-116.308344,-86.0,8000,37175,,KNBC,47906,34.225559,-118.065346,CDBS
K21GR,TV_TRANSLATOR,36,43826,0,1263977,TX,300.000,23500,80.0,839.6,7.6,0.0,KEYHOLE,34.135256,-116.308344,-86.0,8000,37175,,KNBC,47906,34.225559,-118.065346,CDBS
K35LA-D,TV_TRANSLATOR,28,181262,0,1445537,LD,15000.000,16393,220.0,499.0,22.6,0.0,KEYHOLE,33.866655,-116.434845,-74.8,8000,49616,,KCET,13058,34.223893,-118.063124,CDBS
K14AB,TV_TRANSLATOR,11,11533,0,12300,TX,1080.000,0,0.0,914.0,0.0,0.0,KEYHOLE,34.065010,-116.545847,-82.4,8000,378,,KTTV,22208,34.224726,-118.064235,CDBS
K16AA,TV_TRANSLATOR,43,11531,0,12301,TX,1080.000,0,0.0,914.0,0.0,0.0,KEYHOLE,34.065010,-116.545847,-82.3,8000,20707,,KCBS-TV,9628,34.227226,-118.067569,CDBS
K30GU,TV_TRANSLATOR,36,11530,0,620548,TX,1080.000,39177,0.0,906.9,54.2,0.0,KEYHOLE,34.065010,-116.545847,-82.3,8000,14824,,KNBC,47906,34.225559,-118.065346,CDBS
K32EM,TV_TRANSLATOR,32,14156,0,250052,TX,1040.000,0,0.0,910.0,58.0,0.0,KEYHOLE,34.065010,-116.545847,-82.3,8000,25601,,KDOC-TV,24518,34.226393,-118.067013,CDBS
K34EU,TV_TRANSLATOR,9,14157,0,250051,TX,1040.000,16237,0.0,910.0,58.0,0.0,KEYHOLE,34.065010,-116.545847,-82.3,8000,13564,,KCAL-TV,21422,34.227226,-118.067569,CDBS
K40HX,TV_TRANSLATOR,31,11528,0,1109322,TX,1080.000,16237,0.0,907.6,54.2,0.0,KEYHOLE,34.065010,-116.545847,-82.3,8000,12919,,KTLA,35670,34.226670,-118.066457,CDBS
K48EM,TV_TRANSLATOR,28,14698,0,207201,TX,1120.000,0,0.0,900.0,47.0,0.0,KEYHOLE,34.065010,-116.545847,-82.4,8000,35715,,KCET,13058,34.223893,-118.063124,CDBS
KUAN-LP,TV_TRANSLATOR,18,35609,0,30285,TX,3400.000,18181,216.0,886.0,0.0,0.0,KEYHOLE,33.008656,-116.971974,-36.8,8000,42021,,KSCI,35608,34.213282,-118.062291,CDBS
K10PV-D,TV_TRANSLATOR,15,19656,0,1353032,LD,100.000,77008,0.0,656.0,4.3,0.0,KEYHOLE,34.465274,-119.678190,-41.7,8000,32732,,KSBY,19654,35.360252,-120.656004,CDBS
K26FT-D,TV_TRANSLATOR,28,13450,0,1413347,LD,203.000,20751,180.0,652.0,4.0,0.0,KEYHOLE,34.465552,-119.678746,99.8,8000,50409,,KCET,13058,34.223893,-118.063124,CDBS
K28GY-D,TV_TRANSLATOR,28,13469,0,1363273,LD,2600.000,84881,120.0,1234.0,17.0,0.0,KEYHOLE,34.525269,-119.959030,100.3,8000,75413,,KCET,13058,34.223893,-118.063124,CDBS
KUHD-LP,TV_TRANSLATOR,33,67963,0,1362509,TX,999.000,90614,100.0,642.0,8.0,0.0,KEYHOLE,34.349165,-119.336226,96.4,8000,7956,,KTBN-TV,67884,34.224170,-118.063124,CDBS
KCBT-LD,TV_TRANSLATOR,40,61178,0,1373439,LD,15000.000,94734,270.0,1046.0,10.0,0.0,KEYHOLE,35.437735,-118.742036,-18.4,8000,40512,,KVPT,69733,36.745782,-119.281787,CDBS
K18HD-D,TV_TRANSLATOR,40,125313,0,1539288,LD,12430.000,109973,245.0,1099.3,25.3,0.0,KEYHOLE,35.438040,-118.740286,-18.4,8000,40551,,KVPT,69733,36.745782,-119.281787,CDBS
K46II-D,TV_TRANSLATOR,28,13444,0,1360929,LD,15000.000,84875,260.0,1091.4,17.4,0.0,KEYHOLE,35.438040,-118.740286,155.1,8000,54869,,KCET,13058,34.223893,-118.063124,CDBS
K18AB-D,TV_TRANSLATOR,8,48977,0,1495634,LD,2540.000,105705,0.0,112.0,27.0,0.0,KEYHOLE,33.211796,-92.663489,153.5,8000,6846,,KNOE-TV,48975,32.197376,-92.070690,CDBS
K51FO-D,TV_TRANSLATOR,49,16540,0,1515958,LD,15000.000,23503,0.0,229.0,117.0,0.0,KEYHOLE,31.235461,-93.200997,71.1,8000,53200,,WNTZ-TV,16539,31.669057,-91.691791,CDBS
W15DJ-D,TV_TRANSLATOR,42,63062,0,1452795,LD,3900.000,104667,35.0,386.7,149.3,0.0,KEYHOLE,45.238599,-87.090947,-141.7,8000,23220,,WPNE-TV,18798,44.409715,-88.001768,CDBS
W40AN-D,TV_TRANSLATOR,11,4151,0,1311946,LD,4040.000,16535,277.0,281.9,71.0,0.0,KEYHOLE,45.782190,-87.101247,-155.0,8000,56061,,WLUK-TV,4150,44.408882,-87.992046,CDBS
W45CD-D,TV_TRANSLATOR,36,63038,0,1277190,LD,1180.000,84311,0.0,622.5,150.0,0.0,KEYHOLE,45.735514,-88.427900,-80.1,8000,47595,,WLEF-TV,63046,45.945227,-90.272940,CDBS
W42DH-D,TV_TRANSLATOR,7,167156,0,1352666,LD,15000.000,88400,0.0,654.7,135.0,0.0,KEYHOLE,46.031895,-89.530144,-174.1,8000,11079,,WSAW-TV,6867,44.920524,-89.691234,CDBS
K06JX,TV_TRANSLATOR,9,39796,0,24592,TX,3.000,22986,130.0,529.0,0.0,0.0,KEYHOLE,65.021732,-150.671356,93.8,8000,38594,,KUAC-TV,69315,64.911235,-147.779655,CDBS
K05FI,TV_TRANSLATOR,9,69202,0,304544,TX,174.000,22940,0.0,898.0,0.0,0.0,KEYHOLE,63.787931,-145.862022,-35.6,8000,55166,,KUAC-TV,69315,64.911235,-147.779655,CDBS
K47IR,TV_TRANSLATOR,17,128844,0,695767,TX,15600.000,16389,30.0,591.2,53.3,0.0,KEYHOLE,47.488260,-92.520184,158.3,8000,667,,KQDS-TV,35525,46.793551,-92.117690,CDBS
W32CV,TV_TRANSLATOR,17,128843,0,977479,TX,15900.000,19128,75.0,612.7,106.7,0.0,KEYHOLE,46.441059,-90.190731,-74.4,8000,44158,,KQDS-TV,35525,46.793551,-92.117690,CDBS
W24CL-D,TV_TRANSLATOR,27,63034,0,1277211,LD,1560.000,84312,0.0,448.0,123.0,0.0,KEYHOLE,45.841338,-92.471031,151.5,8000,7884,,WHWC-TV,18793,45.046906,-91.863231,CDBS
K15GT,TV_TRANSLATOR,17,129205,0,1010602,TX,16100.000,66203,0.0,554.6,53.3,0.0,KEYHOLE,47.381045,-92.955469,135.4,8000,9330,,KQDS-TV,35525,46.793551,-92.117690,CDBS
